user_id,user_segment_id,user_segment
390365,138,APR25 Register (Insider Campaign)
388782,138,APR25 Register (Insider Campaign)
385766,138,APR25 Register (Insider Campaign)
389378,138,APR25 Register (Insider Campaign)
384806,138,APR25 Register (Insider Campaign)
388470,138,APR25 Register (Insider Campaign)
385684,138,APR25 Register (Insider Campaign)
386634,138,APR25 Register (Insider Campaign)
391961,138,APR25 Register (Insider Campaign)
391462,138,APR25 Register (Insider Campaign)
388065,138,APR25 Register (Insider Campaign)
389232,138,APR25 Register (Insider Campaign)
391204,138,APR25 Register (Insider Campaign)
387220,138,APR25 Register (Insider Campaign)
389214,138,APR25 Register (Insider Campaign)
385446,138,APR25 Register (Insider Campaign)
388085,138,APR25 Register (Insider Campaign)
385501,138,APR25 Register (Insider Campaign)
384207,138,APR25 Register (Insider Campaign)
384580,138,APR25 Register (Insider Campaign)
389427,138,APR25 Register (Insider Campaign)
392308,138,APR25 Register (Insider Campaign)
391263,138,APR25 Register (Insider Campaign)
391655,138,APR25 Register (Insider Campaign)
388574,138,APR25 Register (Insider Campaign)
390411,138,APR25 Register (Insider Campaign)
388374,138,APR25 Register (Insider Campaign)
386404,138,APR25 Register (Insider Campaign)
384410,138,APR25 Register (Insider Campaign)
384215,138,APR25 Register (Insider Campaign)
391586,138,APR25 Register (Insider Campaign)
385683,138,APR25 Register (Insider Campaign)
392917,138,APR25 Register (Insider Campaign)
391844,138,APR25 Register (Insider Campaign)
392023,138,APR25 Register (Insider Campaign)
388481,138,APR25 Register (Insider Campaign)
384480,138,APR25 Register (Insider Campaign)
392864,138,APR25 Register (Insider Campaign)
390409,138,APR25 Register (Insider Campaign)
388779,138,APR25 Register (Insider Campaign)
386259,138,APR25 Register (Insider Campaign)
386883,138,APR25 Register (Insider Campaign)
387598,138,APR25 Register (Insider Campaign)
391837,138,APR25 Register (Insider Campaign)
390843,138,APR25 Register (Insider Campaign)
386580,138,APR25 Register (Insider Campaign)
391679,138,APR25 Register (Insider Campaign)
388003,138,APR25 Register (Insider Campaign)
390945,138,APR25 Register (Insider Campaign)
390146,138,APR25 Register (Insider Campaign)
387308,138,APR25 Register (Insider Campaign)
386928,138,APR25 Register (Insider Campaign)
389612,138,APR25 Register (Insider Campaign)
392847,138,APR25 Register (Insider Campaign)
387116,138,APR25 Register (Insider Campaign)
384747,138,APR25 Register (Insider Campaign)
387940,138,APR25 Register (Insider Campaign)
388170,138,APR25 Register (Insider Campaign)
387866,138,APR25 Register (Insider Campaign)
388343,138,APR25 Register (Insider Campaign)
389307,138,APR25 Register (Insider Campaign)
388945,138,APR25 Register (Insider Campaign)
389230,138,APR25 Register (Insider Campaign)
384460,138,APR25 Register (Insider Campaign)
387808,138,APR25 Register (Insider Campaign)
392848,138,APR25 Register (Insider Campaign)
384426,138,APR25 Register (Insider Campaign)
384948,138,APR25 Register (Insider Campaign)
384152,138,APR25 Register (Insider Campaign)
391490,138,APR25 Register (Insider Campaign)
390824,138,APR25 Register (Insider Campaign)
386871,138,APR25 Register (Insider Campaign)
387990,138,APR25 Register (Insider Campaign)
390426,138,APR25 Register (Insider Campaign)
391817,138,APR25 Register (Insider Campaign)
385484,138,APR25 Register (Insider Campaign)
388643,138,APR25 Register (Insider Campaign)
385103,138,APR25 Register (Insider Campaign)
387317,138,APR25 Register (Insider Campaign)
384198,138,APR25 Register (Insider Campaign)
384417,138,APR25 Register (Insider Campaign)
390176,138,APR25 Register (Insider Campaign)
389739,138,APR25 Register (Insider Campaign)
391247,138,APR25 Register (Insider Campaign)
389919,138,APR25 Register (Insider Campaign)
389720,138,APR25 Register (Insider Campaign)
384224,138,APR25 Register (Insider Campaign)
385785,138,APR25 Register (Insider Campaign)
390689,138,APR25 Register (Insider Campaign)
388024,138,APR25 Register (Insider Campaign)
389069,138,APR25 Register (Insider Campaign)
391743,138,APR25 Register (Insider Campaign)
387681,138,APR25 Register (Insider Campaign)
388437,138,APR25 Register (Insider Campaign)
385696,138,APR25 Register (Insider Campaign)
389210,138,APR25 Register (Insider Campaign)
387127,138,APR25 Register (Insider Campaign)
388188,138,APR25 Register (Insider Campaign)
393150,138,APR25 Register (Insider Campaign)
389445,138,APR25 Register (Insider Campaign)
391956,138,APR25 Register (Insider Campaign)
387946,138,APR25 Register (Insider Campaign)
387647,138,APR25 Register (Insider Campaign)
388504,138,APR25 Register (Insider Campaign)
389066,138,APR25 Register (Insider Campaign)
391054,138,APR25 Register (Insider Campaign)
389554,138,APR25 Register (Insider Campaign)
385686,138,APR25 Register (Insider Campaign)
387447,138,APR25 Register (Insider Campaign)
389344,138,APR25 Register (Insider Campaign)
389754,138,APR25 Register (Insider Campaign)
386385,138,APR25 Register (Insider Campaign)
390675,138,APR25 Register (Insider Campaign)
388350,138,APR25 Register (Insider Campaign)
386563,138,APR25 Register (Insider Campaign)
384808,138,APR25 Register (Insider Campaign)
386696,138,APR25 Register (Insider Campaign)
384974,138,APR25 Register (Insider Campaign)
387110,138,APR25 Register (Insider Campaign)
390573,138,APR25 Register (Insider Campaign)
384248,138,APR25 Register (Insider Campaign)
388746,138,APR25 Register (Insider Campaign)
387089,138,APR25 Register (Insider Campaign)
390641,138,APR25 Register (Insider Campaign)
387804,138,APR25 Register (Insider Campaign)
390860,138,APR25 Register (Insider Campaign)
385901,138,APR25 Register (Insider Campaign)
384101,138,APR25 Register (Insider Campaign)
387475,138,APR25 Register (Insider Campaign)
387172,138,APR25 Register (Insider Campaign)
391309,138,APR25 Register (Insider Campaign)
386679,138,APR25 Register (Insider Campaign)
385330,138,APR25 Register (Insider Campaign)
387907,138,APR25 Register (Insider Campaign)
385885,138,APR25 Register (Insider Campaign)
387114,138,APR25 Register (Insider Campaign)
390756,138,APR25 Register (Insider Campaign)
387155,138,APR25 Register (Insider Campaign)
389556,138,APR25 Register (Insider Campaign)
385700,138,APR25 Register (Insider Campaign)
389261,138,APR25 Register (Insider Campaign)
388736,138,APR25 Register (Insider Campaign)
388826,138,APR25 Register (Insider Campaign)
385271,138,APR25 Register (Insider Campaign)
385411,138,APR25 Register (Insider Campaign)
